id,source,target,airlines
ORD-ATL,ORD,ATL,20
ATL-ORD,ATL,ORD,19
ORD-MSY,ORD,MSY,13
HKT-BKK,HKT,BKK,13
LHR-JFK,LHR,JFK,12
JFK-LHR,JFK,LHR,12
AUH-MCT,AUH,MCT,12
CAN-HGH,CAN,HGH,12
ATL-MIA,ATL,MIA,12
HKG-BKK,HKG,BKK,12
BKK-HKG,BKK,HKG,12
MIA-ATL,MIA,ATL,12
JFK-CDG,JFK,CDG,11
SYD-AKL,SYD,AKL,11
HRE-LUN,HRE,LUN,11
CNX-BKK,CNX,BKK,11
JFK-MSY,JFK,MSY,11
MSY-JFK,MSY,JFK,11
ATL-DFW,ATL,DFW,11
CDG-JFK,CDG,JFK,11
SFO-ATL,SFO,ATL,11
LAX-LHR,LAX,LHR,11
KGL-EBB,KGL,EBB,11
DEN-ATL,DEN,ATL,11
LHR-LAX,LHR,LAX,11
ATL-DEN,ATL,DEN,11
MCT-AUH,MCT,AUH,11
CGK-SIN,CGK,SIN,10
JHG-KMG,JHG,KMG,10
SIN-DPS,SIN,DPS,10
KMG-JHG,KMG,JHG,10
CGK-KUL,CGK,KUL,10
BKK-SIN,BKK,SIN,10
HGH-CAN,HGH,CAN,10
XIY-CKG,XIY,CKG,10
AKL-SYD,AKL,SYD,10
BKK-ICN,BKK,ICN,10
CKG-XIY,CKG,XIY,10
HGH-DLC,HGH,DLC,10
CGO-HGH,CGO,HGH,10
HKG-ICN,HKG,ICN,10
CDG-ORD,CDG,ORD,10
DFW-ATL,DFW,ATL,10
ATL-LAX,ATL,LAX,10
ICN-BKK,ICN,BKK,10
ATL-JFK,ATL,JFK,10
DPS-SIN,DPS,SIN,10
JFK-MXP,JFK,MXP,10
HGH-CGO,HGH,CGO,10
ICN-HKG,ICN,HKG,10
ICN-NRT,ICN,NRT,10
SIN-CGK,SIN,CGK,10
NRT-ICN,NRT,ICN,10
BKK-HKT,BKK,HKT,10
LHR-SFO,LHR,SFO,10
DLC-HGH,DLC,HGH,10
SIN-KUL,SIN,KUL,10
BKK-CNX,BKK,CNX,10
MXP-JFK,MXP,JFK,10
NRT-TPE,NRT,TPE,10
KUL-SIN,KUL,SIN,10
ORD-CDG,ORD,CDG,10
TPE-NRT,TPE,NRT,10
KUL-CGK,KUL,CGK,10
SFO-LHR,SFO,LHR,10
JAX-ATL,JAX,ATL,9
IND-ATL,IND,ATL,9
IAH-ATL,IAH,ATL,9
IAD-ATL,IAD,ATL,9
KMG-CTU,KMG,CTU,9
CTU-HGH,CTU,HGH,9
HGH-TAO,HGH,TAO,9
SIN-BKK,SIN,BKK,9
TAO-SHE,TAO,SHE,9
SHE-TAO,SHE,TAO,9
URC-CGO,URC,CGO,9
URC-KHG,URC,KHG,9
URC-XIY,URC,XIY,9
SYD-SIN,SYD,SIN,9
SIN-SYD,SIN,SYD,9
ATL-PHL,ATL,PHL,9
ATL-PHX,ATL,PHX,9
ATL-SFO,ATL,SFO,9
CTU-KMG,CTU,KMG,9
BCN-JFK,BCN,JFK,9
BKK-KUL,BKK,KUL,9
BOS-LHR,BOS,LHR,9
XIY-URC,XIY,URC,9
CDG-MIA,CDG,MIA,9
LGW-ACE,LGW,ACE,9
CNS-BNE,CNS,BNE,9
ATL-RDU,ATL,RDU,9
XIY-XNN,XIY,XNN,9
DFW-FRA,DFW,FRA,9
DUB-JFK,DUB,JFK,9
ATL-MSY,ATL,MSY,9
FRA-DFW,FRA,DFW,9
HNL-LAX,HNL,LAX,9
JNB-CPT,JNB,CPT,9
JFK-BCN,JFK,BCN,9
CPT-JNB,CPT,JNB,9
JFK-DUB,JFK,DUB,9
XNN-XIY,XNN,XIY,9
LAS-LAX,LAS,LAX,9
JFK-MAD,JFK,MAD,9
LAX-LAS,LAX,LAS,9
ATL-JAX,ATL,JAX,9
ATL-IND,ATL,IND,9
KUL-BKK,KUL,BKK,9
