Station,Date,Total,
83781,31/01/1982,217.7,
83781,28/02/1982,275.9,
83781,31/03/1982,143.2,
83781,30/04/1982,35.4,
83781,31/05/1982,45.5,
83781,30/06/1982,161.9,
83781,31/07/1982,41.9,
83781,31/08/1982,72.4,
83781,30/09/1982,9.5,
83781,31/10/1982,197.5,
83781,30/11/1982,173.5,
83781,31/12/1982,269.5,
83781,31/01/1983,239,
83781,31/12/1983,179,
83781,31/01/1984,259.3,
83781,29/02/1984,32.5,
83781,31/03/1984,54,
83781,30/04/1984,96.8,
83781,31/05/1984,113,
83781,30/06/1984,0.1,
83781,31/07/1984,26.7,
83781,31/08/1984,110.6,
83781,30/09/1984,162.5,
83781,31/10/1984,31.1,
83781,30/11/1984,140,
83781,31/12/1984,139.6,
83781,31/01/1985,190.1,
83781,28/02/1985,281.4,
83781,31/03/1985,166.9,
83781,30/04/1985,31.4,
83781,31/05/1985,107.2,
83781,30/06/1985,14.2,
83781,31/07/1985,0.6,
83781,31/08/1985,21.6,
83781,30/09/1985,110.1,
83781,31/10/1985,11.2,
83781,30/11/1985,86,
83781,31/12/1985,176.3,
83781,31/01/1986,250.7,
83781,28/02/1986,268.4,
83781,31/03/1986,230.6,
83781,30/04/1986,84.9,
83781,31/05/1986,84.6,
83781,30/06/1986,2.4,
83781,31/07/1986,28.1,
83781,31/08/1986,97.2,
83781,30/09/1986,34.7,
83781,31/10/1986,43.9,
83781,30/11/1986,155.6,
83781,31/12/1986,383.2,
83781,31/01/1987,442.3,
83781,28/02/1987,177.5,
83781,31/03/1987,178.5,
83781,30/04/1987,91.5,
83781,31/05/1987,241.2,
83781,30/06/1987,195.9,
83781,31/07/1987,10.7,
83781,31/08/1987,17.4,
83781,30/09/1987,59.2,
83781,31/10/1987,89.9,
83781,30/11/1987,96.1,
83781,31/12/1987,146.3,
83781,31/01/1988,293.4,
83781,29/02/1988,284.7,
83781,31/03/1988,203.6,
83781,30/04/1988,173.4,
83781,31/05/1988,210.8,
83781,30/06/1988,58.8,
83781,31/07/1988,2.2,
83781,31/08/1988,2.6,
83781,30/09/1988,34.7,
83781,31/10/1988,170.1,
83781,30/11/1988,85.7,
83781,31/12/1988,279.6,
83781,31/01/1989,359.2,
83781,28/02/1989,326.5,
83781,31/03/1989,185.1,
83781,30/04/1989,96.2,
83781,31/05/1989,30.4,
83781,30/06/1989,44.4,
83781,31/07/1989,144.7,
83781,31/08/1989,32.3,
83781,30/09/1989,82.2,
83781,31/10/1989,65.4,
83781,30/11/1989,82.4,
83781,31/12/1989,121.7,
83781,31/01/1990,280.7,
83781,28/02/1990,152.8,
83781,31/03/1990,228.8,
83781,30/04/1990,77.1,
83781,31/05/1990,52.8,
83781,30/06/1990,39.2,
83781,31/07/1990,121,
83781,31/08/1990,49.6,
83781,30/09/1990,96.1,
83781,31/10/1990,117.6,
83781,30/11/1990,76,
83781,31/12/1990,124.7,
83781,31/01/1991,270.7,
83781,28/02/1991,358,
83781,31/03/1991,451.3,
83781,30/04/1991,169,
83781,31/05/1991,34.2,
83781,30/06/1991,85.8,
83781,31/07/1991,26.2,
83781,31/08/1991,39.3,
83781,30/09/1991,65.6,
83781,31/10/1991,153.9,
83781,30/11/1991,48,
83781,31/12/1991,220.6,
83781,31/01/1992,203.4,
83781,29/02/1992,184,
83781,31/03/1992,273.7,
83781,30/04/1992,59.3,
83781,31/05/1992,71.4,
83781,30/06/1992,18.6,
83781,31/07/1992,39.1,
83781,31/08/1992,25.8,
83781,30/09/1992,180.6,
83781,31/10/1992,177.5,
83781,30/11/1992,213.8,
83781,31/12/1992,201,
83781,31/01/1993,248.7,
83781,28/02/1993,265.6,
83781,31/03/1993,92.5,
83781,30/04/1993,118.4,
83781,31/05/1993,101.2,
83781,30/06/1993,57.5,
83781,31/07/1993,15.2,
83781,31/08/1993,52.1,
83781,30/09/1993,206.7,
83781,31/10/1993,148.5,
83781,30/11/1993,96.2,
83781,31/12/1993,180.3,
83781,31/01/1994,231.9,
83781,28/02/1994,170.8,
83781,31/03/1994,252.3,
83781,30/04/1994,99.9,
83781,31/05/1994,40.7,
83781,30/06/1994,31.9,
83781,31/07/1994,26.1,
83781,31/08/1994,3.1,
83781,30/09/1994,1.3,
83781,31/10/1994,126.8,
83781,30/11/1994,122.8,
83781,31/12/1994,311.1,
83781,31/01/1995,379,
83781,28/02/1995,445.5,
83781,31/03/1995,304.1,
83781,30/04/1995,64.9,
83781,31/05/1995,74.4,
83781,30/06/1995,58.7,
83781,31/07/1995,47.1,
83781,31/08/1995,16.7,
83781,30/09/1995,41.5,
83781,31/10/1995,229.9,
83781,30/11/1995,97.7,
83781,31/12/1995,202,
83781,31/01/1996,354.9,
83781,29/02/1996,305.6,
83781,31/03/1996,396.8,
83781,30/04/1996,81.7,
83781,31/05/1996,33.1,
83781,30/06/1996,54.1,
83781,31/07/1996,7.2,
83781,31/08/1996,31.6,
83781,30/09/1996,178.9,
83781,31/10/1996,154,
83781,30/11/1996,93.9,
83781,31/12/1996,331.4,
83781,31/01/1997,313.3,
83781,28/02/1997,181.1,
83781,31/03/1997,76,
83781,30/04/1997,71.6,
83781,31/05/1997,75,
83781,30/06/1997,122.5,
83781,31/07/1997,10,
83781,31/08/1997,22.3,
83781,30/09/1997,140.9,
83781,31/10/1997,96.1,
83781,30/11/1997,220.1,
83781,31/12/1997,255.4,
83781,31/01/1998,200.6,
83781,28/02/1998,394.2,
83781,31/03/1998,252.9,
